H,R,T
disease-0159,feature,gene-02938
disease-0192,increase,gene-00587
disease-0192,increase,gene-00589
disease-0192,increase,gene-00595
disease-0192,increase,gene-00597
disease-0209,gene,hpo-06796
disease-0213,affect,small_molecule-08347
disease-0213,affect,small_molecule-09029
disease-0213,affect,small_molecule-11291
disease-0213,reduce,small_molecule-08347
disease-0213,reduce,small_molecule-09029
disease-0270,affect,drug-00070
disease-0270,associate,drug-00435
disease-0270,cause,drug-00663
disease-0270,develop,drug-00663
disease-0270,develop,small_molecule-29023
disease-0270,expression,gene-01659
disease-0270,identifi,small_molecule-17478
disease-0270,increase,drug-00663
disease-0270,treat,drug-00070
disease-0270,treat,small_molecule-17478
disease-0271,expression,drug-00749
disease-0272,cause,gene-05622
disease-0272,show,hpo-04720
disease-0279,cause,hpo-03925
disease-0279,prevent,gene-02922
disease-0279,risk,hpo-03925
disease-0279,show,drug-05721
disease-0280,associate,hpo-03925
disease-0281,feature,hpo-04295
disease-0281,feature,hpo-09796
disease-0281,feature,hpo-09814
disease-0285,associate,gene-03229
disease-0285,associate,hpo-03632
disease-0285,associate,hpo-03925
disease-0285,associate,hpo-04198
disease-0285,associate,small_molecule-15434
disease-0285,cause,hpo-03925
disease-0285,encode,protein-03358
disease-0285,feature,hpo-03925
disease-0285,feature,hpo-08875
disease-0285,observe,gene-05683
disease-0286,cause,hpo-03634
disease-0286,cause,hpo-03642
disease-0286,develop,hpo-03925
disease-0286,encode,protein-14286
disease-0286,mutate,gene-05836
disease-0286,risk,hpo-03858
disease-0291,treat,hpo-03925
disease-0308,affect,hpo-03925
disease-0308,associate,hpo-03925
disease-0308,associate,small_molecule-11291
disease-0308,cause,hpo-03925
disease-0308,develop,gene-03401
disease-0308,expression,hpo-03925
disease-0308,expression,small_molecule-11291
disease-0308,improve,hpo-03925
disease-0308,show,hpo-03925
disease-0308,show,small_molecule-08566
disease-0308,treat,hpo-03722
disease-0312,associate,small_molecule-35201
disease-0317,evalu,hpo-03461
disease-0317,feature,hpo-01404
disease-0317,feature,hpo-09814
disease-0317,feature,hpo-12463
disease-0317,feature,hpo-12621
disease-0317,show,hpo-11844
disease-0317,show,hpo-12620
disease-0317,show,hpo-12635
disease-0373,associate,hpo-05837
disease-0402,maintain,hpo-10098
disease-0411,affect,hpo-03925
disease-0411,associate,hpo-03925
disease-0411,cause,hpo-03528
disease-0411,cause,hpo-06573
disease-0411,cause,hpo-08875
disease-0411,change,hpo-13129
disease-0411,develop,hpo-03528
disease-0411,develop,hpo-04198
disease-0411,improve,hpo-03925
disease-0411,produce,hpo-03528
disease-0411,reduce,hpo-06573
disease-0411,show,hpo-03528
disease-0411,show,hpo-03925
disease-0458,feature,hpo-07157
disease-0484,affect,hpo-04112
disease-0484,affect,hpo-13303
disease-0484,associate,hpo-03925
disease-0484,cause,hpo-03925
disease-0484,cause,hpo-13006
disease-0484,determin,hpo-12642
disease-0484,determin,hpo-13073
disease-0484,determin,hpo-13265
disease-0484,develop,hpo-12824
disease-0484,focus,gene-07270
disease-0484,reduce,gene-04416
disease-0484,reduce,gene-05761
disease-0484,show,hpo-03769
disease-0484,show,hpo-13075
disease-0492,improve,hpo-09376
disease-0492,improve,hpo-09617
disease-0492,improve,small_molecule-31150
disease-0571,associate,gene-05250
disease-0571,determin,gene-05932
disease-0571,show,hpo-03461
disease-0571,show,hpo-09798
disease-0571,show,hpo-13400
disease-0582,affect,hpo-13303
disease-0582,associate,hpo-13303
disease-0582,develop,hpo-06796
disease-0582,develop,hpo-12855
disease-0582,marker,hpo-06796
disease-0582,marker,hpo-12855
disease-0789,cause,gene-05511
disease-0839,associate,hpo-13006
disease-0839,develop,hpo-12949
disease-0839,show,gene-00113
disease-0855,show,hpo-12834
disease-0869,cause,gene-05399
disease-0874,cause,small_molecule-08869
disease-0874,cause,small_molecule-35529
disease-0874,change,hpo-13006
disease-0874,disrupt,hpo-10098
disease-0874,prevent,hpo-04207
disease-0874,show,hpo-03634
disease-0879,cause,gene-05399
disease-0891,cause,gene-05951
disease-0902,show,hpo-07321
disease-0902,show,hpo-07360
disease-0902,show,hpo-09796
disease-0902,show,hpo-12620
disease-0902,show,hpo-13371
disease-0902,show,hpo-13400
disease-0908,encode,gene-06956
disease-0911,determin,gene-11168
disease-0969,associate,gene-05736
disease-0988,cause,gene-01873
disease-0995,cause,gene-04919
disease-1015,cause,gene-01606
disease-1015,cause,gene-01762
disease-1015,cause,hpo-03747
disease-1015,cause,hpo-03925
disease-1015,cause,hpo-04043
disease-1015,cause,hpo-04055
disease-1015,cause,hpo-04198
disease-1015,cause,hpo-12839
disease-1015,cause,protein-05332
disease-1015,increase,small_molecule-12613
disease-1015,risk,hpo-03925
disease-1015,risk,hpo-04055
disease-1015,risk,hpo-12847
disease-1015,show,hpo-04198
disease-1015,show,hpo-12839
disease-1015,show,hpo-13614
disease-1039,affect,hpo-12831
disease-1077,feature,hpo-05006
disease-1077,feature,hpo-13617
disease-1172,marker,hpo-03925
disease-1182,associate,hpo-03634
disease-1182,associate,small_molecule-27940
disease-1182,cause,gene-00044
disease-1182,cause,gene-04577
disease-1182,change,gene-04577
disease-1182,contain,disease-2125
disease-1182,contain,hpo-03461
disease-1182,contain,hpo-06299
disease-1182,contain,hpo-07908
disease-1182,contain,hpo-12620
disease-1182,feature,hpo-03461
disease-1182,feature,hpo-12620
disease-1182,mutate,gene-03118
disease-1182,mutate,gene-04577
disease-1182,mutate,gene-05293
disease-1182,particip,drug-01326
disease-1193,evalu,disease-1743
disease-1213,cause,hpo-03632
disease-1214,cause,hpo-02571
disease-1214,cause,hpo-03244
disease-1214,cause,hpo-12834
disease-1214,cause,small_molecule-05736
disease-1214,mutate,hpo-02571
disease-1214,mutate,hpo-12834
disease-1214,reduce,hpo-03925
disease-1223,regulate,hpo-13074
disease-1280,cause,gene-06891
disease-1280,contain,hpo-00002
disease-1280,treat,hpo-03925
disease-1348,associate,gene-04192
disease-1348,associate,gene-04193
disease-1348,detect,hpo-06751
disease-1348,encode,gene-04193
disease-1348,encode,protein-07000
disease-1348,found,gene-09753
disease-1348,identifi,gene-04416
disease-1348,identifi,protein-07000
disease-1348,observe,gene-08824
disease-1348,treat,hpo-03634
disease-1386,feature,hpo-09634
disease-1386,feature,hpo-12635
disease-1386,increase,small_molecule-16163
disease-1386,treat,small_molecule-14388
disease-1396,affect,gene-03229
disease-1396,encode,gene-01365
disease-1432,cause,hpo-10187
disease-1432,feature,hpo-10187
disease-1488,cause,hpo-03925
disease-1503,interact,gene-03814
disease-1503,interact,gene-07561
disease-1594,abolish,gene-28917
disease-1594,associate,disease-1776
disease-1594,associate,gene-02319
disease-1594,cause,gene-01606
disease-1594,cause,gene-28917
disease-1594,cause,hpo-03925
disease-1594,cause,hpo-12857
disease-1626,associate,gene-00079
disease-1626,associate,gene-01620
disease-1626,associate,hpo-04184
disease-1626,cause,hpo-04184
disease-1626,cause,hpo-07820
disease-1626,cause,hpo-13407
disease-1626,determin,hpo-04186
disease-1626,determin,hpo-13244
disease-1626,develop,hpo-04184
disease-1626,feature,hpo-04184
disease-1626,mutate,gene-00079
disease-1626,mutate,protein-04470
disease-1626,show,hpo-03925
disease-1626,show,hpo-13100
disease-1641,treat,hpo-13384
disease-1641,treat,hpo-13528
disease-1654,risk,drug-09508
disease-1654,risk,gene-00385
disease-1659,associate,gene-05849
disease-1659,associate,hpo-03461
disease-1659,associate,hpo-07326
disease-1659,associate,hpo-13162
disease-1659,associate,hpo-13349
disease-1659,cause,hpo-05155
disease-1659,cause,hpo-13186
disease-1659,develop,hpo-13277
disease-1659,develop,hpo-13593
disease-1659,feature,hpo-03987
disease-1659,feature,hpo-13162
disease-1659,show,disease-1636
disease-1659,show,hpo-00001
disease-1659,show,hpo-04246
disease-1664,associate,small_molecule-06275
disease-1705,cause,gene-12781
disease-1705,cause,hpo-03461
disease-1705,cause,hpo-09796
disease-1724,increase,hpo-13647
disease-1737,develop,gene-01890
disease-1737,treat,small_molecule-45265
disease-1743,associate,disease-1193
disease-1743,associate,disease-1503
disease-1743,contain,drug-01329
disease-1743,contain,hpo-03461
disease-1743,contain,hpo-13162
disease-1743,feature,hpo-03987
disease-1743,feature,hpo-13162
disease-1776,abolish,gene-28917
disease-1776,cause,gene-01606
disease-1776,develop,gene-01606
disease-1776,develop,hpo-04141
disease-1776,feature,disease-1594
disease-1776,feature,hpo-04252
disease-1776,feature,hpo-04295
disease-1776,feature,hpo-09796
disease-1776,feature,hpo-12620
disease-1776,feature,hpo-12906
disease-1776,feature,hpo-13276
disease-1777,cause,disease-6963
disease-1777,expression,hpo-10098
disease-1777,expression,hpo-12857
disease-1777,observe,hpo-00043
disease-1780,associate,hpo-08373
disease-1780,cause,hpo-06802
disease-1780,mutate,disease-1777
disease-1782,consist,hpo-09880
disease-1782,consist,hpo-12658
disease-1783,encode,gene-03173
disease-1783,mutate,hpo-03925
disease-1810,feature,hpo-09047
disease-1825,show,hpo-02714
disease-1825,show,hpo-03632
disease-1825,show,hpo-03856
disease-1825,show,hpo-12834
disease-1866,produce,hpo-12857
disease-1918,associate,hpo-03925
disease-1918,associate,hpo-04479
disease-1918,associate,hpo-12857
disease-1918,associate,hpo-13528
disease-1918,conside,hpo-04206
disease-1918,consist,hpo-04206
disease-1918,encode,small_molecule-35265
disease-1918,feature,hpo-13514
disease-1918,treat,small_molecule-38696
disease-1953,cause,hpo-03910
disease-1953,show,hpo-03537
disease-2020,response,drug-01340
disease-2034,associate,small_molecule-19346
disease-2034,cause,hpo-12857
disease-2034,cause,hpo-13528
disease-2034,observe,hpo-10098
disease-2099,conside,hpo-09796
disease-2099,conside,hpo-13447
disease-2124,cause,hpo-02695
disease-2124,cause,hpo-13319
disease-2124,prevent,hpo-12855
disease-2125,affect,hpo-03461
disease-2125,affect,hpo-03634
disease-2125,affect,hpo-09413
disease-2125,affect,hpo-12637
disease-2125,associate,hpo-12635
disease-2125,cause,gene-02667
disease-2125,cause,hpo-03461
disease-2125,cause,hpo-09802
disease-2125,cause,hpo-12658
disease-2125,consist,hpo-01166
disease-2125,consist,hpo-09796
disease-2125,consist,hpo-09814
disease-2125,consist,hpo-12601
disease-2125,contain,hpo-07908
disease-2125,develop,hpo-13648
disease-2125,feature,hpo-00497
disease-2125,feature,hpo-03461
disease-2125,feature,hpo-04295
disease-2125,feature,hpo-09796
disease-2125,feature,hpo-12635
disease-2125,feature,hpo-13146
disease-2125,mutate,gene-02667
disease-2125,particip,drug-01326
disease-2131,disrupt,gene-16962
disease-2142,cause,hpo-12940
disease-2160,affect,gene-00892
disease-2160,contain,hpo-03770
disease-2160,contain,small_molecule-11239
disease-2160,encode,gene-00892
disease-2160,feature,gene-09014
disease-2160,stimul,small_molecule-02137
disease-2201,bind,drug-00069
disease-2201,bind,hpo-12952
disease-2201,cause,gene-02938
disease-2201,cause,hpo-05245
disease-2201,cause,hpo-07332
disease-2201,demonstr,small_molecule-12347
disease-2208,cause,gene-03173
disease-2208,contain,hpo-12620
disease-2208,develop,gene-03173
disease-2208,feature,hpo-08247
disease-2208,feature,hpo-09796
disease-2208,feature,hpo-12834
disease-2208,interact,protein-19339
disease-2218,cause,hpo-03461
disease-2218,cause,hpo-13303
disease-2245,associate,gene-03640
disease-2245,associate,hpo-03640
disease-2263,associate,hpo-03485
disease-2263,contain,disease-4493
disease-2263,contain,hpo-12604
disease-2263,feature,disease-4493
disease-2263,feature,hpo-11816
disease-2270,cause,hpo-03925
disease-2270,mutate,gene-06310
disease-2270,show,hpo-03925
disease-2321,contain,gene-00360
disease-2321,contain,hpo-07953
disease-2321,contain,hpo-12522
disease-2321,mutate,gene-00360
disease-2348,cause,gene-01929
disease-2348,cause,hpo-03234
disease-2348,cause,hpo-03925
disease-2348,contain,hpo-03925
disease-2348,contain,hpo-08301
disease-2348,contain,hpo-09327
disease-2348,contain,hpo-12952
disease-2348,increase,gene-01929
disease-2348,increase,small_molecule-13016
disease-2348,mutate,gene-01929
disease-2374,regulate,hpo-12857
disease-2374,serve,hpo-13631
disease-2395,associate,gene-02121
disease-2395,cause,gene-02121
disease-2395,cause,hpo-03244
disease-2395,cause,hpo-07326
disease-2395,cause,hpo-12996
disease-2431,studi,gene-05627
disease-2441,associate,hpo-03987
disease-2441,associate,hpo-04567
disease-2441,associate,hpo-12874
disease-2441,associate,hpo-13542
disease-2466,feature,disease-4493
disease-2466,feature,hpo-03461
disease-2466,feature,hpo-06417
disease-2468,affect,gene-04295
disease-2505,feature,hpo-03451
disease-2505,feature,hpo-03994
disease-2505,feature,hpo-12452
disease-2505,feature,hpo-12842
disease-2505,feature,hpo-13275
disease-2505,feature,hpo-13482
disease-2518,bind,hpo-06572
disease-2518,bind,hpo-09344
disease-2518,bind,hpo-09796
disease-2518,bind,hpo-12948
disease-2518,bind,hpo-13480
disease-2532,have,drug-02412
disease-2574,reduce,hpo-03528
disease-2574,treat,small_molecule-08566
disease-2578,associate,hpo-12932
disease-2578,feature,hpo-01007
disease-2578,feature,hpo-04988
disease-2578,feature,hpo-07452
disease-2578,feature,hpo-09796
disease-2578,feature,hpo-12620
disease-2612,expression,hpo-12857
disease-2616,encode,gene-02948
disease-2663,associate,hpo-03987
disease-2663,associate,hpo-04567
disease-2663,associate,hpo-12874
disease-2663,associate,hpo-13542
disease-2663,conside,gene-02756
disease-2671,associate,hpo-13291
disease-2671,change,hpo-11902
disease-2671,change,hpo-13631
disease-2671,feature,hpo-03214
disease-2671,feature,hpo-13467
disease-2671,reduce,hpo-13291
disease-2671,reduce,small_molecule-07504
disease-2671,treat,small_molecule-07504
disease-2679,feature,disease-2676
disease-2679,feature,hpo-09814
disease-2679,feature,hpo-13387
disease-2695,associate,hpo-12620
disease-2724,affect,hpo-09452
disease-2762,cause,gene-00347
disease-2762,cause,hpo-03244
disease-2763,affect,hpo-00560
disease-2763,affect,small_molecule-04975
disease-2763,contain,hpo-00497
disease-2763,contain,hpo-01558
disease-2763,contain,hpo-04382
disease-2763,contain,hpo-04970
disease-2763,contain,hpo-05374
disease-2763,contain,hpo-12450
disease-2763,contain,hpo-12620
disease-2763,contain,hpo-13525
disease-2794,expression,small_molecule-36254
disease-2820,associate,hpo-07714
disease-2820,cause,hpo-03925
disease-2823,associate,gene-01340
disease-2823,associate,hpo-06797
disease-2823,feature,hpo-06797
disease-2823,mutate,gene-04577
disease-2823,mutate,hpo-03891
disease-2823,mutate,hpo-03925
disease-2823,treat,gene-14570
disease-2835,associate,small_molecule-27940
disease-2835,cause,disease-1777
disease-2835,cause,disease-2832
disease-2835,cause,gene-06198
disease-2835,feature,hpo-13146
disease-2857,feature,small_molecule-04812
disease-2857,feature,small_molecule-42530
disease-2961,associate,hpo-09814
disease-2961,associate,hpo-09878
disease-2961,cause,gene-03980
disease-2961,cause,hpo-13319
disease-3004,cause,gene-05207
disease-3025,associate,hpo-08953
disease-3037,cause,small_molecule-09026
disease-3037,feature,hpo-03726
disease-3136,cause,small_molecule-42530
disease-3136,demonstr,small_molecule-42530
disease-3139,associate,hpo-04972
disease-3139,associate,hpo-09796
disease-3139,associate,hpo-12654
disease-3139,associate,hpo-13074
disease-3139,associate,hpo-13542
disease-3221,associate,drug-00745
disease-3221,associate,hpo-07166
disease-3237,conside,hpo-03632
disease-3237,reduce,small_molecule-24878
disease-3279,show,hpo-13514
disease-3281,cause,hpo-10187
disease-3307,bind,hpo-06572
disease-3307,bind,hpo-09344
disease-3307,bind,hpo-09796
disease-3307,bind,hpo-12948
disease-3307,bind,hpo-13480
disease-3381,associate,gene-03173
disease-3381,bind,hpo-08178
disease-3381,cause,gene-01726
disease-3381,cause,gene-03173
disease-3381,cause,hpo-03244
disease-3381,cause,hpo-03634
disease-3381,cause,hpo-03925
disease-3381,cause,hpo-12834
disease-3381,contain,hpo-03634
disease-3381,contain,hpo-08247
disease-3381,contain,hpo-09796
disease-3381,contain,hpo-12834
disease-3381,expression,gene-03173
disease-3381,expression,hpo-07326
disease-3381,feature,hpo-03528
disease-3381,feature,hpo-03634
disease-3381,feature,hpo-08178
disease-3381,feature,hpo-08240
disease-3381,feature,hpo-08247
disease-3381,feature,hpo-09730
disease-3381,feature,hpo-09796
disease-3381,feature,hpo-12834
disease-3381,focus,gene-03173
disease-3381,mutate,gene-03173
disease-3381,produce,hpo-12834
disease-3381,show,hpo-03634
disease-3409,associate,hpo-12834
disease-3409,demonstr,gene-01413
disease-3409,develop,hpo-03214
disease-3409,develop,hpo-03632
disease-3409,develop,hpo-03925
disease-3409,develop,small_molecule-02847
disease-3409,feature,hpo-08247
disease-3409,feature,hpo-12834
disease-3409,gene,small_molecule-08566
disease-3409,mutate,disease-3797
disease-3409,show,hpo-13104
disease-3457,feature,hpo-06797
disease-3479,cause,hpo-13186
disease-3479,cause,hpo-13312
disease-3648,associate,hpo-03528
disease-3648,associate,hpo-12834
disease-3648,associate,hpo-13006
disease-3648,associate,hpo-13528
disease-3648,associate,small_molecule-06207
disease-3648,cause,drug-13765
disease-3648,cause,gene-02190
disease-3648,cause,hpo-03234
disease-3648,cause,hpo-13319
disease-3648,depend,gene-02190
disease-3648,feature,hpo-12834
disease-3648,feature,hpo-13006
disease-3648,feature,hpo-13528
disease-3648,initi,gene-02190
disease-3648,initi,hpo-13319
disease-3648,produce,hpo-03244
disease-3648,show,hpo-13528
disease-3655,interact,gene-04416
disease-3662,cause,gene-05502
disease-3662,cause,gene-17935
disease-3662,cause,hpo-03925
disease-3662,cause,small_molecule-03260
disease-3662,cause,small_molecule-10053
disease-3662,cause,small_molecule-47216
disease-3662,contain,drug-00093
disease-3662,contain,hpo-08097
disease-3662,exist,hpo-03638
disease-3662,feature,disease-1168
disease-3662,feature,hpo-03632
disease-3662,feature,hpo-06911
disease-3662,feature,hpo-08247
disease-3662,feature,hpo-12617
disease-3662,feature,hpo-12620
disease-3662,feature,hpo-12652
disease-3662,feature,hpo-12834
disease-3662,feature,hpo-13447
disease-3662,feature,small_molecule-24938
disease-3662,mutate,gene-05502
disease-3662,show,gene-05502
disease-3662,show,hpo-03632
disease-3662,show,hpo-12834
disease-3662,show,hpo-13447
disease-3681,change,hpo-03925
disease-3681,change,hpo-12834
disease-3681,demonstr,hpo-12834
disease-3681,feature,hpo-09802
disease-3705,show,hpo-00269
disease-3705,show,hpo-13146
disease-3709,cause,hpo-03925
disease-3709,increase,hpo-03025
disease-3763,feature,hpo-06797
disease-3792,cause,drug-01255
disease-3792,cause,hpo-03244
disease-3792,cause,small_molecule-04834
disease-3792,encode,drug-01255
disease-3797,affect,hpo-03925
disease-3797,affect,hpo-08335
disease-3797,affect,hpo-10187
disease-3797,associate,hpo-03895
disease-3797,associate,hpo-12834
disease-3797,associate,hpo-13301
disease-3797,cause,gene-01413
disease-3797,cause,hpo-03925
disease-3797,cause,hpo-08200
disease-3797,cause,hpo-08310
disease-3797,cause,hpo-08335
disease-3797,cause,hpo-09475
disease-3797,cause,hpo-12641
disease-3797,cause,hpo-12834
disease-3797,cause,hpo-13632
disease-3797,cause,protein-04101
disease-3797,conside,hpo-03632
disease-3797,develop,hpo-03925
disease-3797,develop,hpo-12834
disease-3797,disrupt,protein-04101
disease-3797,encode,gene-01413
disease-3797,expression,protein-04101
disease-3797,feature,hpo-08310
disease-3797,feature,hpo-08335
disease-3797,feature,hpo-10187
disease-3797,feature,hpo-12834
disease-3797,have,hpo-12834
disease-3797,produce,gene-01413
disease-3797,reduce,gene-01413
disease-3797,reduce,gene-05940
disease-3797,regulate,gene-05940
disease-3797,show,hpo-08302
disease-3797,show,protein-04101
disease-3797,treat,hpo-03630
disease-3797,treat,small_molecule-06162
disease-3798,cause,gene-01608
disease-3843,cause,gene-03390
disease-3870,cause,gene-01751
disease-3908,associate,hpo-03925
disease-3908,associate,hpo-13074
disease-3908,change,gene-09014
disease-3923,differenti,hpo-02922
disease-3983,associate,gene-05951
disease-3983,cause,gene-05951
disease-4006,contain,hpo-13244
disease-4006,contain,small_molecule-47205
disease-4109,associate,hpo-01888
disease-4143,conside,hpo-05818
disease-4143,conside,hpo-05830
disease-4151,associate,hpo-07538
disease-4151,associate,hpo-08062
disease-4166,cause,hpo-03632
disease-4258,activate,gene-03016
disease-4258,affect,hpo-03925
disease-4258,affect,hpo-12857
disease-4258,associate,gene-05901
disease-4258,associate,gene-08981
disease-4258,associate,hpo-03925
disease-4258,associate,hpo-12855
disease-4258,associate,hpo-13074
disease-4258,associate,hpo-13647
disease-4258,associate,small_molecule-10713
disease-4258,associate,small_molecule-12347
disease-4258,cause,gene-27622
disease-4258,cause,hpo-03528
disease-4258,cause,hpo-03925
disease-4258,cause,hpo-04112
disease-4258,cause,hpo-04198
disease-4258,change,hpo-00281
disease-4258,change,small_molecule-55008
disease-4258,determin,hpo-03528
disease-4258,exist,hpo-03925
disease-4258,expression,gene-01737
disease-4258,expression,gene-05952
disease-4258,expression,small_molecule-04807
disease-4258,feature,drug-08462
disease-4258,gene,gene-00224
disease-4258,increase,hpo-03925
disease-4258,increase,hpo-12857
disease-4258,produce,hpo-03528
disease-4258,regulate,gene-20547
disease-4258,risk,hpo-03925
disease-4258,risk,hpo-05246
disease-4258,treat,disease-2218
disease-4258,treat,drug-06067
disease-4409,cause,hpo-03925
disease-4409,feature,hpo-05406
disease-4409,feature,hpo-08301
disease-4409,feature,hpo-09081
disease-4409,feature,hpo-13074
disease-4409,show,hpo-03770
disease-4409,show,hpo-04504
disease-4409,show,hpo-05406
disease-4409,show,hpo-06573
disease-4409,show,hpo-08240
disease-4409,show,hpo-09388
disease-4409,show,hpo-12950
disease-4409,treat,small_molecule-09447
disease-4409,treat,small_molecule-17713
disease-4436,associate,gene-00647
disease-4436,associate,hpo-03925
disease-4436,associate,hpo-04112
disease-4436,associate,small_molecule-11291
disease-4436,cause,drug-05654
disease-4436,cause,hpo-03646
disease-4436,found,small_molecule-11291
disease-4436,improve,disease-2468
disease-4436,potenti,hpo-03925
disease-4436,treat,drug-01242
disease-4525,show,hpo-13307
disease-4530,cause,hpo-00071
disease-4530,cause,small_molecule-01190
disease-4530,cause,small_molecule-10191
disease-4530,cause,small_molecule-13681
disease-4610,associate,hpo-09880
disease-4610,cause,hpo-03856
disease-4610,cause,hpo-13307
disease-4610,cause,hpo-13606
disease-4610,develop,hpo-03234
disease-4617,associate,hpo-06720
disease-4617,found,hpo-06802
disease-4677,show,hpo-03945
disease-4677,show,hpo-10187
disease-4712,treat,hpo-03925
disease-4715,cause,hpo-13303
disease-4715,cause,small_molecule-26020
disease-4748,associate,gene-01479
disease-4748,contain,hpo-03632
disease-4748,contain,hpo-03925
disease-4748,contain,hpo-07538
disease-4748,contain,hpo-08053
disease-4748,feature,gene-02183
disease-4748,feature,hpo-07538
disease-4748,feature,hpo-08062
disease-4748,feature,hpo-12834
disease-4770,cause,gene-07824
disease-4793,feature,hpo-04363
disease-4793,feature,hpo-04382
disease-4793,feature,hpo-12896
disease-4793,feature,hpo-13221
disease-4843,gene,gene-05170
disease-4843,gene,gene-07443
disease-4933,associate,gene-01441
disease-4933,risk,disease-1654
disease-4989,control,disease-2034
disease-5039,regulate,gene-07490
disease-5039,regulate,hpo-09693
disease-5039,show,gene-04750
disease-5240,associate,gene-05165
disease-5240,associate,hpo-13074
disease-5361,contain,disease-0773
disease-5361,contain,hpo-06419
disease-5361,contain,hpo-06514
disease-5385,cause,gene-01741
disease-5385,identifi,gene-01741
disease-5399,associate,gene-05602
disease-5399,associate,gene-05605
disease-5526,encode,gene-01479
disease-5526,encode,protein-04345
disease-5788,contain,hpo-04295
disease-5788,contain,hpo-09624
disease-5788,contain,hpo-09814
disease-5788,contain,hpo-12635
disease-5955,affect,hpo-03925
disease-5955,affect,hpo-12857
disease-5955,affect,hpo-13303
disease-5955,affect,hpo-13631
disease-5955,cause,hpo-03925
disease-5955,change,hpo-12857
disease-5955,control,hpo-03925
disease-5955,disrupt,hpo-13303
disease-5955,improve,hpo-12945
disease-5955,prevent,hpo-03646
disease-5955,reduce,hpo-03528
disease-5955,use,hpo-12855
disease-5955,use,hpo-13528
disease-5955,use,small_molecule-11291
disease-6180,change,hpo-12864
disease-6180,change,hpo-13157
disease-6572,associate,gene-02509
disease-6645,treat,gene-01659
disease-6660,associate,hpo-13431
disease-6660,associate,hpo-13441
disease-6665,cause,gene-03042
disease-6814,cause,small_molecule-12165
disease-6814,cause,small_molecule-15348
disease-6814,improve,small_molecule-13016
disease-6963,associate,small_molecule-06649
disease-7143,associate,small_molecule-54495
disease-7143,marker,hpo-04319
disease-7143,show,hpo-03076
disease-7264,feature,gene-00634
disease-7264,feature,hpo-04999
disease-7295,focus,drug-10679
disease-7295,focus,protein-03533
disease-7295,focus,small_molecule-11474
disease-7295,focus,small_molecule-12563
disease-8854,associate,hpo-12857
disease-8865,associate,hpo-03634
disease-8865,cause,drug-01713
disease-8865,cause,hpo-03528
disease-8865,cause,hpo-03925
disease-8865,change,hpo-03925
disease-8865,change,hpo-13074
disease-8865,demonstr,hpo-12817
disease-8865,develop,disease-0484
disease-8865,develop,hpo-12857
disease-8865,serve,hpo-13074
drug-00005,act,small_molecule-53521
drug-00005,associate,hpo-12857
drug-00005,observe,small_molecule-53521
drug-00016,bind,hpo-03925
drug-00016,bind,hpo-13215
drug-00016,cause,protein-04331
drug-00016,change,hpo-03925
drug-00016,reduce,hpo-03925
drug-00016,use,hpo-00125
drug-00016,use,hpo-13006
drug-00026,cause,hpo-04141
drug-00026,prevent,hpo-03925
drug-00028,affect,hpo-12857
drug-00028,show,hpo-03925
drug-00028,treat,hpo-03549
drug-00030,cause,gene-00159
drug-00030,transloc,gene-01594
drug-00047,marker,hpo-03925
drug-00051,affect,hpo-03632
drug-00051,improve,hpo-12857
drug-00061,associate,hpo-13006
drug-00065,produce,hpo-13280
drug-00069,act,gene-01163
drug-00069,act,hpo-12941
drug-00069,activate,gene-01163
drug-00069,reduce,gene-02966
drug-00069,reduce,hpo-05246
drug-00069,reduce,hpo-13074
drug-00070,associate,disease-0270
drug-00070,associate,hpo-03925
drug-00070,associate,hpo-12834
drug-00070,associate,small_molecule-11291
drug-00070,cause,disease-0270
drug-00070,cause,hpo-03925
drug-00070,confer,disease-6645
drug-00070,improve,disease-0270
drug-00070,inhibit,hpo-03925
drug-00070,reduce,disease-0270
drug-00070,risk,hpo-03925
drug-00070,treat,disease-0270
drug-00070,treat,disease-6645
drug-00070,use,hpo-12684
drug-00081,focus,protein-05501
drug-00086,cause,hpo-03528
drug-00086,change,hpo-03925
drug-00086,inhibit,hpo-03925
drug-00086,inhibit,hpo-04198
drug-00086,protect,hpo-03925
drug-00086,reduce,hpo-00016
drug-00086,reduce,hpo-03634
drug-00086,reduce,hpo-03925
drug-00095,interact,gene-00566
drug-00095,stimul,drug-11291
drug-00097,treat,hpo-13035
drug-00098,affect,small_molecule-11291
drug-00123,activate,hpo-07332
drug-00128,develop,hpo-05245
drug-00128,improve,small_molecule-02847
drug-00128,prevent,hpo-12824
drug-00128,reduce,hpo-13074
drug-00140,reduce,hpo-03925
drug-00149,act,gene-00165
drug-00149,associate,gene-00165
drug-00149,prevent,gene-00165
drug-00149,prevent,hpo-03925
drug-00150,reduce,hpo-12834
drug-00150,reduce,hpo-13528
drug-00150,risk,small_molecule-08347
drug-00151,prevent,hpo-03528
drug-00151,prevent,hpo-03925
drug-00151,protect,hpo-13581
drug-00155,associate,hpo-03925
drug-00155,associate,hpo-13354
drug-00155,cause,hpo-13631
drug-00160,reduce,protein-03078
drug-00162,expression,hpo-12857
drug-00166,affect,disease-0411
drug-00166,affect,hpo-03528
drug-00166,affect,hpo-03925
drug-00168,affect,hpo-12857
drug-00168,cause,disease-3797
drug-00168,cause,hpo-12857
drug-00168,develop,small_molecule-11291
drug-00168,expression,hpo-03528
